"","","","","","","","","","","","",""
"Category I would put it in","Name","Price per unit (INR)","Quantity","Price(INR)","Price(USD)","","","","","","","conversion rate"
"Motors (electronics)","DM542 Digital Stepper Motor Driver","930","6","5580","65.270791905486","","","","","","USD TO INR","85.49"
"","NEMA23 Stepper Motor","1829","2","3658","42.788630249152","","","","","","",""
"","NEMA17 Full Size Stepper Motor","1054","2","2108","24.65785471985","","","","","","",""
"","NEMA17 Pancake Stepper Motor","754","2","1508","17.63948999883","","","","","","",""
"For Robotic Arm","Adafruit Feather M4","3449","1","3449","40.34389987133","","","","","","",""
"","Adafruit RFM69 Featherwing","854","1","854","9.9894724529185","","","","","","",""
"","Adafruit MCP23017 GPIO Expander","511","1","511","5.977307287402","","","","","","",""
"","Right Angle Quad Band Antenna","200","1","200","2.3394549070067","","","","","","",""
"","","","","","","","","","","","",""
"For Controller","Adafruit Feather M0 RFM69HCW ","2142","1","2142","25.055562054041","","","","","","",""
"","Adafruit Analog 2-Axis Thumb Joystick ","506","1","506","5.9188209147269","","","","","","",""
"","Right Angle Quad Band Antenna","363","1","363","4.2461106562171","","","","","","",""
"","SMA to uFL Adapter Cable","600","1","600","7.01836472102","","","","","","",""
"","","","","","","","","","","","",""
"OTHERS","12 x 24 x 3/4” MDF","1000","1","1000","11.697274535033","","","","","","",""
"","95mm OD, 75mm ID, 10mm Thick Bearing","2500","1","2500","29.243186337583","","","","","","",""
"","M3, M4, M5, M10 heat-set brass inserts","401","1","401","4.6906070885484","","","","","","",""
"","M3, M4, M5, M10 bolts","499","1","499","5.8369399929816","","","","","","",""
"","302.71376769213","","","","","(in usd)","","","","","",""
